acc,biosample,platform
ERR5631741,SAMEA8378528,ILLUMINA
ERR5516042,SAMEA8378528,OXFORD_NANOPORE
ERR5633087,SAMEA8378575,ILLUMINA
ERR5516092,SAMEA8378575,OXFORD_NANOPORE
ERR5516312,SAMEA8378787,OXFORD_NANOPORE
ERR5633327,SAMEA8378787,ILLUMINA
ERR5666611,SAMEA8379578,ILLUMINA
ERR5517159,SAMEA8379578,OXFORD_NANOPORE
ERR5517491,SAMEA8379897,OXFORD_NANOPORE
ERR5629600,SAMEA8379897,ILLUMINA
ERR5632024,SAMEA8463723,ILLUMINA
ERR5629132,SAMEA8463723,OXFORD_NANOPORE
ERR5629849,SAMEA8464430,ILLUMINA
ERR5633398,SAMEA8464430,OXFORD_NANOPORE
ERR6297717,SAMEA8559278,OXFORD_NANOPORE
ERR5705739,SAMEA8559278,ILLUMINA
ERR5706286,SAMEA8559407,ILLUMINA
ERR6301383,SAMEA8559407,OXFORD_NANOPORE
ERR5970893,SAMEA9005639,ILLUMINA
ERR5972500,SAMEA9005639,OXFORD_NANOPORE
ERR5970923,SAMEA9005670,ILLUMINA
ERR5971452,SAMEA9005670,OXFORD_NANOPORE
ERR5971192,SAMEA9005938,ILLUMINA
ERR5972444,SAMEA9005938,OXFORD_NANOPORE
ERR5971795,SAMEA9006536,ILLUMINA
ERR5973485,SAMEA9006536,OXFORD_NANOPORE
ERR5972291,SAMEA9006717,ILLUMINA
ERR5971977,SAMEA9006717,OXFORD_NANOPORE
SRR11397720,SAMN14422705,ILLUMINA
SRR11397724,SAMN14422705,OXFORD_NANOPORE
SRR11397723,SAMN14422706,OXFORD_NANOPORE
SRR11397719,SAMN14422706,ILLUMINA
SRR11397722,SAMN14422707,OXFORD_NANOPORE
SRR11397718,SAMN14422707,ILLUMINA
SRR11410540,SAMN14444189,ILLUMINA
SRR11410539,SAMN14444189,OXFORD_NANOPORE
SRR11410538,SAMN14444190,ILLUMINA
SRR11410537,SAMN14444190,OXFORD_NANOPORE
SRR11547279,SAMN14596408,OXFORD_NANOPORE
SRR11542244,SAMN14596408,ILLUMINA
SRR11593358,SAMN14652906,ILLUMINA
SRR11593363,SAMN14652906,OXFORD_NANOPORE
SRR11593353,SAMN14652907,OXFORD_NANOPORE
SRR11593357,SAMN14652907,ILLUMINA
SRR11593352,SAMN14652908,OXFORD_NANOPORE
SRR11593356,SAMN14652908,ILLUMINA
SRR11593355,SAMN14652909,ILLUMINA
SRR11593351,SAMN14652909,OXFORD_NANOPORE
SRR11593354,SAMN14652910,ILLUMINA
SRR11593417,SAMN14652910,OXFORD_NANOPORE
SRR12447513,SAMN15691563,OXFORD_NANOPORE
SRR12447404,SAMN15691563,ILLUMINA
SRR12480554,SAMN15691563,OXFORD_NANOPORE
SRR12447512,SAMN15691564,OXFORD_NANOPORE
SRR12447403,SAMN15691564,ILLUMINA
SRR12480553,SAMN15691564,OXFORD_NANOPORE
SRR12480567,SAMN15691565,ILLUMINA
SRR12447371,SAMN15691565,OXFORD_NANOPORE
SRR12447462,SAMN15691565,ILLUMINA
SRR12447368,SAMN15691621,OXFORD_NANOPORE
SRR12447429,SAMN15691621,ILLUMINA
SRR12480564,SAMN15691621,ILLUMINA
SRR12480527,SAMN15691622,ILLUMINA
SRR12447380,SAMN15691622,OXFORD_NANOPORE
SRR12447386,SAMN15691622,ILLUMINA
SRR12447511,SAMN15691623,OXFORD_NANOPORE
SRR12447402,SAMN15691623,ILLUMINA
SRR12480552,SAMN15691623,OXFORD_NANOPORE
SRR12480551,SAMN15691624,OXFORD_NANOPORE
SRR12447510,SAMN15691624,OXFORD_NANOPORE
SRR12447401,SAMN15691624,ILLUMINA
SRR12447400,SAMN15691625,ILLUMINA
SRR12480550,SAMN15691625,OXFORD_NANOPORE
SRR12447509,SAMN15691625,OXFORD_NANOPORE
SRR12447399,SAMN15691626,ILLUMINA
SRR12480548,SAMN15691626,OXFORD_NANOPORE
SRR12447507,SAMN15691626,OXFORD_NANOPORE
SRR12447506,SAMN15691627,OXFORD_NANOPORE
SRR12480547,SAMN15691627,OXFORD_NANOPORE
SRR12447398,SAMN15691627,ILLUMINA
SRR12480546,SAMN15691628,OXFORD_NANOPORE
SRR12447396,SAMN15691628,ILLUMINA
SRR12447505,SAMN15691628,OXFORD_NANOPORE
SRR12480545,SAMN15691629,OXFORD_NANOPORE
SRR12447504,SAMN15691629,OXFORD_NANOPORE
SRR12447395,SAMN15691629,ILLUMINA
SRR12480544,SAMN15691630,OXFORD_NANOPORE
SRR12447394,SAMN15691630,ILLUMINA
SRR12447503,SAMN15691630,OXFORD_NANOPORE
SRR12480543,SAMN15691631,OXFORD_NANOPORE
SRR12447393,SAMN15691631,ILLUMINA
SRR12447502,SAMN15691631,OXFORD_NANOPORE
SRR12447500,SAMN15691633,OXFORD_NANOPORE
SRR12480541,SAMN15691633,OXFORD_NANOPORE
SRR12447392,SAMN15691633,ILLUMINA
SRR12447391,SAMN15691635,ILLUMINA
SRR12480539,SAMN15691635,OXFORD_NANOPORE
SRR12447498,SAMN15691635,OXFORD_NANOPORE
SRR12480537,SAMN15691636,OXFORD_NANOPORE
SRR12447496,SAMN15691636,OXFORD_NANOPORE
SRR12447390,SAMN15691636,ILLUMINA
SRR12447495,SAMN15691637,OXFORD_NANOPORE
SRR12480536,SAMN15691637,OXFORD_NANOPORE
SRR12447389,SAMN15691637,ILLUMINA
SRR12480535,SAMN15691638,OXFORD_NANOPORE
SRR12447494,SAMN15691638,OXFORD_NANOPORE
SRR12447388,SAMN15691638,ILLUMINA
SRR12480534,SAMN15691639,OXFORD_NANOPORE
SRR12447493,SAMN15691639,OXFORD_NANOPORE
SRR12447387,SAMN15691639,ILLUMINA
SRR13402841,SAMN17284106,OXFORD_NANOPORE
SRR13402848,SAMN17284106,ILLUMINA
SRR13402840,SAMN17284107,OXFORD_NANOPORE
SRR13402847,SAMN17284107,ILLUMINA
SRR13870626,SAMN18188233,ILLUMINA
SRR13870639,SAMN18188233,OXFORD_NANOPORE
SRR13870658,SAMN18188233,ILLUMINA
SRR13870673,SAMN18188233,ILLUMINA
SRR13870625,SAMN18188234,ILLUMINA
SRR13870638,SAMN18188234,OXFORD_NANOPORE
SRR13870672,SAMN18188234,ILLUMINA
SRR13870657,SAMN18188234,ILLUMINA
SRR13870648,SAMN18188237,ILLUMINA
SRR13870654,SAMN18188237,ILLUMINA
SRR13870636,SAMN18188237,OXFORD_NANOPORE
SRR13870671,SAMN18188237,ILLUMINA
SRR13870647,SAMN18188238,ILLUMINA
SRR13870653,SAMN18188238,ILLUMINA
SRR13870670,SAMN18188238,ILLUMINA
SRR13870635,SAMN18188238,OXFORD_NANOPORE
SRR13870651,SAMN18188239,ILLUMINA
SRR13870634,SAMN18188239,OXFORD_NANOPORE
SRR13870669,SAMN18188239,ILLUMINA
SRR13870682,SAMN18188239,ILLUMINA
SRR13870668,SAMN18188240,ILLUMINA
SRR13870633,SAMN18188240,OXFORD_NANOPORE
SRR13870646,SAMN18188240,ILLUMINA
SRR13870681,SAMN18188240,ILLUMINA
