id,country,locality,state,subregion,submitted,collected
epi_isl_427014,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427013,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427012,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427011,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427010,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427009,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_427008,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_427007,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_427006,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_427005,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_427004,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_427003,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_427002,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_427001,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_427000,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426999,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426998,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426997,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426996,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426995,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426994,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426993,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_426992,Australia,,Victoria,Oceania,20200417,20200330
epi_isl_426991,Australia,,Victoria,Oceania,20200417,20200326
epi_isl_426990,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426989,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_426988,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_426987,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_426986,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_426985,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426984,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426983,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426982,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426981,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426980,Australia,,Victoria,Oceania,20200417,20200328
epi_isl_426979,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426978,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426977,Australia,,Victoria,Oceania,20200417,20200329
epi_isl_426976,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426975,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426974,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426973,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426972,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426971,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426970,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426969,Australia,,Victoria,Oceania,20200417,20200326
epi_isl_426968,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426967,Australia,,Victoria,Oceania,20200417,20200327
epi_isl_426966,Australia,,Victoria,Oceania,20200417,20200327
